,ISBN No.,Candidate Name,Candidate Designation,University,Candidate Title,Chapter Name,fChapter Name,Book Title,Publication Date,Publication Name
392,978-81-19534-14-2,Dr. K. K. Baseer,Professor in department of Data Science,"School of Computing, Mohan Babu University, Tirupati, A.P., INDIA",Author,NIL,NIL,"MACHINE LEARNING MASTERY: ALGORITHMS, APPLICATIONS AND INSIGHTS","Monday, August 14, 2023",Xoffencer International Publication
393,978-81-19534-14-2,Dr. M. Jahir Pasha,Professor in Department of Computer Science & Engineering,"G. Pullaiah College of Engineering and Technology, Kurnool, A.P., India",Author,NIL,NIL,"MACHINE LEARNING MASTERY: ALGORITHMS, APPLICATIONS AND INSIGHTS","Monday, August 14, 2023",Xoffencer International Publication
394,978-81-19534-14-2,Dr. Haewon Byeon,Department of Medical Big Data,Inje University,Author,NIL,NIL,"MACHINE LEARNING MASTERY: ALGORITHMS, APPLICATIONS AND INSIGHTS","Monday, August 14, 2023",Xoffencer International Publication
395,978-81-19534-17-3,Mr. Srinivas Rao Adabala,Research Scholar in the Department of Computer Science & AI,"SR University, Warangal, Telangana State, India",Author,NIL,NIL,DEEP LEARNING FOR DATA MINING: UNSUPERVISED FEATURE LEARNING AND REPRESENTATION,"Monday, August 14, 2023",Xoffencer International Publication
396,978-81-19534-17-3,Dr. Ravi Kumar,Associate Professor,"Jaypee University of Engineering and Technology, Guna",Author,NIL,NIL,DEEP LEARNING FOR DATA MINING: UNSUPERVISED FEATURE LEARNING AND REPRESENTATION,"Monday, August 14, 2023",Xoffencer International Publication
397,978-81-19534-17-3,Purvi Makwana,Assistant Professor,"Smt. K.D.M. Mahila Mahavidyalaya, affiliated to RTMNU",Author,NIL,NIL,DEEP LEARNING FOR DATA MINING: UNSUPERVISED FEATURE LEARNING AND REPRESENTATION,"Monday, August 14, 2023",Xoffencer International Publication
398,978-81-19534-17-3,Dr. Haewon Byeon,Department of Medical Big Data,Inje University,Author,NIL,NIL,DEEP LEARNING FOR DATA MINING: UNSUPERVISED FEATURE LEARNING AND REPRESENTATION,"Monday, August 14, 2023",Xoffencer International Publication
399,978-81-19534-16-6,Mr. Gunawan Widjaja,"BPharm, MPH, MHA","Postgraduate Study Faculty of Public Health, Universitas Indonesia",Author,NIL,NIL,BLOCKCHAIN ESSENTIALS: A COMPREHENSIVE GUIDE TO UNDERSTANDING AND IMPLEMENTING BLOCKCHAIN,"Monday, August 14, 2023",Xoffencer International Publication
400,978-81-19534-02-9,Dr. Hemant N. Patel,Assistant Professor in Computer Engineering,"Sankalchand Patel Engineering College, Sankalchand Patel University, Visnagar, Gujarat",Author,NIL,NIL,MACHINE LEARNING APPLICATIONS IN FINANCE,"Monday, July 17, 2023",Xoffencer International Publication
401,978-81-19534-02-9,Dr. Mitesh J. Patel,Assistant Professor in the Department of Business Management,"Sankalchand Patel Engineering College, Sankalchand Patel University, Visnagar, Gujarat",Author,NIL,NIL,MACHINE LEARNING APPLICATIONS IN FINANCE,"Monday, July 17, 2023",Xoffencer International Publication
402,978-81-19534-02-9,Mr. Sunil P. Patel,Assistant Professor,"Sankalchand Patel Engineering College, Sankalchand Patel University, Visnagar, Gujarat",Author,NIL,NIL,MACHINE LEARNING APPLICATIONS IN FINANCE,"Monday, July 17, 2023",Xoffencer International Publication
403,978-81-19534-02-9,Shakti Bharatbhai Dodiya,Assistant Professor,"Sankalchand Patel Engineering College, Sankalchand Patel University, Visnagar, Gujarat",Author,NIL,NIL,MACHINE LEARNING APPLICATIONS IN FINANCE,"Monday, July 17, 2023",Xoffencer International Publication
404,978-81-19534-07-4,Dr. Debashis Dev Misra,Associate Professor in Department of Computer Science and Engineering,"Assam down town University, Guwahati, Assam, India",Author,NIL,NIL,PRINCIPLES AND PRACTICES OF NETWORK SECURITY,"Tuesday, July 25, 2023",Xoffencer International Publication
405,978-81-19534-07-4,Dr. Aniruddha Deka,Associate Professor in Department of Computer Science and Engineering,"Assam down town University, Guwahati, Assam, India",Author,NIL,NIL,PRINCIPLES AND PRACTICES OF NETWORK SECURITY,"Tuesday, July 25, 2023",Xoffencer International Publication
406,978-81-19534-28-9,Parveen Chauhan,Associate Professor and Head of the Department of Management,"Jagannath University, Haryana",Author,NIL,NIL,FUZZY OPTIMIZATION FOR BUSINESS ANALYTICS AND DATA SCIENCE,"Monday, August 21, 2023",Xoffencer International Publication
407,978-81-19534-28-9,Rashmi Rani Patro,Ph.D. in Computer Science and Engineering,"Siksha ‘O’ Anusandhan Deemed to be University, Bhubaneswar, India",Author,NIL,NIL,FUZZY OPTIMIZATION FOR BUSINESS ANALYTICS AND DATA SCIENCE,"Monday, August 21, 2023",Xoffencer International Publication
408,978-81-19534-28-9,Rojalini Patro,Ph.D. in Computer Science and Engineering,"Siksha ‘O’ Anusandhan Deemed to be University, Bhubaneswar, India",Author,NIL,NIL,FUZZY OPTIMIZATION FOR BUSINESS ANALYTICS AND DATA SCIENCE,"Monday, August 21, 2023",Xoffencer International Publication
409,978-81-19534-28-9,Bibin K Jose,"Associate Professor of Mathematics,",Sanatana Dharma College Alappuzha Kerala (Affiliated to University of Kerala),Author,NIL,NIL,FUZZY OPTIMIZATION FOR BUSINESS ANALYTICS AND DATA SCIENCE,"Monday, August 21, 2023",Xoffencer International Publication
410,978-81-19534-22-7,S. R. Jena,Faculty Associate in Department of Computer Science and Engineering,"Mahindra University, Hyderabad, Telangana, India",Author,NIL,NIL,5G TECHNOLOGY AND IT'S APPLICATION,"Monday, August 21, 2023",Xoffencer International Publication
411,978-81-19534-22-7,Dr. Aniruddha Deka,Associate Professor in Department of Computer Science and Engineering,"Assam down town University, Guwahati, Assam, India",Author,NIL,NIL,5G TECHNOLOGY AND IT'S APPLICATION,"Monday, August 21, 2023",Xoffencer International Publication
412,978-81-19534-22-7,Dr. Jyoti Prasad Kalita,Assistant professor in the Department of Management,Assam Downtown University Guwahati,Author,NIL,NIL,5G TECHNOLOGY AND IT'S APPLICATION,"Monday, August 21, 2023",Xoffencer International Publication
413,978-81-19534-22-7,Dr. Haewon Byeon,Department of Medical Big Data,Inje University,Author,NIL,NIL,5G TECHNOLOGY AND IT'S APPLICATION,"Monday, August 21, 2023",Xoffencer International Publication
414,978-81-19534-24-1,Bechoo Lal,Associate Professor in Department of Computer Science & Engineering,"KLEF- KL University Vijayawada Campus Andhra Pradesh, India",Author,NIL,NIL,TRANSFORMING INDUSTRIES WITH AI: EXPLORING THE UPSIDES AND DOWNSIDES OF EMERGING TECHNOLOGY,"Monday, August 21, 2023",Xoffencer International Publication
415,978-81-19534-24-1,Mr. Ajay Jaiswal,Expert in,Computer Engineering,Author,NIL,NIL,TRANSFORMING INDUSTRIES WITH AI: EXPLORING THE UPSIDES AND DOWNSIDES OF EMERGING TECHNOLOGY,"Monday, August 21, 2023",Xoffencer International Publication
416,978-81-19534-24-1,Mohit Tiwari,Assistant Professor in Computer Science and Engineering Department,Bharati Vidyapeeth’s College of Engineering,Author,NIL,NIL,TRANSFORMING INDUSTRIES WITH AI: EXPLORING THE UPSIDES AND DOWNSIDES OF EMERGING TECHNOLOGY,"Monday, August 21, 2023",Xoffencer International Publication
417,978-81-19534-24-1,Dr. Haewon Byeon,Department of Medical Big Data,Inje University,Author,NIL,NIL,TRANSFORMING INDUSTRIES WITH AI: EXPLORING THE UPSIDES AND DOWNSIDES OF EMERGING TECHNOLOGY,"Monday, August 21, 2023",Xoffencer International Publication
418,978-81-19534-12-8,Ms. Pamela Shalini Joseph,Assistant Professor,"College of Nursing, JNMCH AMU, Aligarh, U.P.",Editor,NIL,NIL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
419,978-81-19534-12-8,Prof. Bhuvaneshwari,Professor cum Principal,"Rathnamma College of Nursing, Gudur, Andhra Pradesh",Editor,NIL,NIL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
420,978-81-19534-12-8,Ms. Ruby Singh,Associate Professor,"Parul Institute of Nursing, Parul University, Vadodara, Gujarat.",Editor,NIL,NIL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
421,978-81-19534-12-8,Dr. Sudhir Kumar Khuntia,Vice Principal,"Florence College of Nursing, Ranchi, Jharkhand",Editor,NIL,NIL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
422,978-81-19534-12-8,Mrs. Neelofur Ibran Ali,Associate Professor,"Pragyan College of Nursing, Bhopal (M.P)",Editor,NIL,NIL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
423,978-81-19534-12-8,Prof. D. Bhuvaneshwari,Principal,"Rathnamma College of Nursing, Gudur, AP",Contributor,INTRODUCTION TO SOCIOLOGY,INTRODUCTION TO SOCIOLOGY,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
424,978-81-19534-12-8,Ms. Kiran Nayyar,Lecturer,"Kular College of Nursing, Kishangarh G.T Road Khanna, Ludhiana Punjab",Contributor,SOCIAL STRUCTURE,SOCIAL STRUCTURE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
425,978-81-19534-12-8,Dr. Rathi M,Principal,"Almas College of Nursing, Puthur, Kottakkal, Malappuram, Kerala",Contributor,SOCIAL GROUPS,SOCIAL GROUPS,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
426,978-81-19534-12-8,Ms. Mikki,Assistant Professor,"Rufaida College of Nursing Jamia Hamdard, New Delhi",Contributor,SOCIAL PROCESSES: ASSOCIATIVE AND DISSOCIATIVE,SOCIAL PROCESSES ASSOCIATIVE AND DISSOCIATIVE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
427,978-81-19534-12-8,Mrs. Shalini Abraham,Professor,"D.Y. Patil University, School of Nursing, Nerul, Navi Mumbai",Contributor,SOCIALISATION,SOCIALISATION,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
428,978-81-19534-12-8,Mrs. Shalini Abraham,Professor,"D.Y. Patil University, School of Nursing, Nerul, Navi Mumbai",Contributor,SOCIALISATION,SOCIALISATION,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
429,978-81-19534-12-8,Ms. Ann Maria Thomas,Associate Professor,"D.Y. Patil University School of Nursing, Nerul, Navi Mumbai",Contributor,CULTURE,CULTURE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
430,978-81-19534-12-8,Ms. Ann Maria Thomas,Associate Professor,"D.Y. Patil University School of Nursing, Nerul, Navi Mumbai",Contributor,CULTURE,CULTURE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
431,978-81-19534-12-8,Dr. Beulah Jasmine Rao,Associate Professor,"College of Nursing, Government Institute of Medical Science",Contributor,FAMILY,FAMILY,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
432,978-81-19534-12-8,Ms. Veena S Chaudhary,Assistant Professor,"Sharda School of Nursing Science and Research, Sharda University",Contributor,FAMILY & MARRIAGE,FAMILY  MARRIAGE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
433,978-81-19534-12-8,Mr. Sudheendra Mutalikadesai,Assistant Professor,"College of Nursing, All India Institute of Medical Sciences, Mangalagiri, Guntur, Andhra Pradesh",Contributor,SOCIAL STRATIFICATION,SOCIAL STRATIFICATION,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
434,978-81-19534-12-8,Mrs. Shikha Gupta,Assistant Professor,"Noida International University, U.P.",Contributor,SOCIAL STRATIFICATION,SOCIAL STRATIFICATION,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
435,978-81-19534-12-8,Ms. Soniya Jain,M.Sc. Nursing Tutor ( Mental Health Nursing),"Shrey Institute of Nursing and Allied Sciences, Naranpura, Ahmedabad , Gujarat",Contributor,RACE,RACE,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
436,978-81-19534-12-8,Mr. Neetendra Singh Parmar,"M.Sc. Nursing (Psychiatric), MSW Nursing Officer,",District Hospital Chhatarpur (M.P.) ,Contributor,SOCIAL ORGANIZATION AND DISORGANIZATION,SOCIAL ORGANIZATION AND DISORGANIZATION,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
437,978-81-19534-12-8,Ms. Shaifali Singh Chauhan,Msc Nursing (Medical Surgical Nursing),"Nursing Tutor, Metro College of Nursing, Grater Noida",Contributor,SOCIAL SYSTEM,SOCIAL SYSTEM,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
438,978-81-19534-12-8,Dr. Jeyadeepa R,Principal,"IQ City Institute of Nursing Sciences, Durgapur, West Bengal",Contributor,SOCIAL CONTROL,SOCIAL CONTROL,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
439,978-81-19534-12-8,Mrs. Hina Thomas,Professor,"Vatsalya Nursing and Research Institute, Ugat- Bhesan Road, Morabhagal, Surat",Contributor,MAJOR SOCIAL PROBLEMS,MAJOR SOCIAL PROBLEMS,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
440,978-81-19534-12-8,Mrs. Sudha Swamy,Associate Professor,"College of Nursing, Rajkiya Medical College, Jalaun",Contributor,VULNERABLE GROUP,VULNERABLE GROUP,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
441,978-81-19534-12-8,Mr. Mohammad Hasan,Assistant Professor,Banda Paramedical College and Nursing School Banda (U.P),Contributor,SOCIAL PROBLEMS,SOCIAL PROBLEMS,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
442,978-81-19534-12-8,Ms. Priyanka Bhatt,M.Sc Nursing in (MHN),"Bhagwan Mahavir College of Nursing, Surat",Contributor,CLINICAL SOCIOLOGY,CLINICAL SOCIOLOGY,APPLIED SOCIOLOGY,"Thursday, August 10, 2023",Xoffencer International Publication
443,978-81-19534-13-5,Ms. Aakanksha,Associate Professor,"Noida International University, School of Nursing, GB Nager (U.P)",Editor,NIL,NIL,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
444,978-81-19534-13-5,M. Amala Seeli,Associate Professor and HOD in Community Health Nursing Department,"Pragyan College of Nursing  Bhopal ,Madhya Pradesh",Editor,NIL,NIL,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
445,978-81-19534-13-5,Ms. Dharini Parmar,Nursing Tutor,"Krishna School of Nursing, KPGU, Vadodara, Gujarat",Editor,NIL,NIL,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
446,978-81-19534-13-5,Mrs. Neelofur Ibran Ali,Associate Professor,"Pragyan College of Nursing, Bhopal (M.P)",Editor,NIL,NIL,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
447,978-81-19534-13-5,Mrs. Shikha Gupta,Assistant Professor,"Noida International University, Greater Noida",Editor,NIL,NIL,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
448,978-81-19534-13-5,Dr. Sunil Kumar Awate,Professor,D.Y.Patil College of Nursing Kolhapur,Contributor,Therapeutic Communication and Documentation,Therapeutic Communication and Documentation,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
449,978-81-19534-13-5,Mr. Anmol Pawar,Assistant Professor,D.Y.Patil College of Nursing Kolhapur,Contributor,Vital Signs,Vital Signs,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
450,978-81-19534-13-5,Mrs. Jiya Sajeev,Associate Professor,"Child Health Nursing, Apollo College of Nursing, Durg Chhattisgarh",Contributor,Physical Examination,Physical Examination,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
451,978-81-19534-13-5,Mr. Aditya Pareek,Associate Professor,"Medical Surgical Nursing (C.T.V.S.), Seedling School of Nursing, Jaipur National University, Jaipur, Rajasthan",Contributor,Medical and Surgical Asepsis,Medical and Surgical Asepsis,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
452,978-81-19534-13-5,Mrs. Jesica Prashant Malap,Lecturer,"Wanless Hospital College of Nursing ,Miraj ,Maharashtra",Contributor,Pain Assessment ,Pain Assessment ,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
453,978-81-19534-13-5,Dr. Praveen L Subravgoudar,Associate Professor,"D.Y. Patil College of Nursing, Kolhapur",Contributor,Comfort Devices,Comfort Devices,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
454,978-81-19534-13-5,Ms. Jyoti Dhanpal Aurwade,Assistant Professor,"D.Y. Patil College of Nursing, Kadamwadi, Kolhapur",Contributor,Therapeutic Positions,Therapeutic Positions,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
455,978-81-19534-13-5,Mrs. Dana Baby,Assistant Professor,"Nehru College of Nursing, Vaniyamkulam, Palakkad, Kerala",Contributor,Physical Restraints and Side rails,Physical Restraints and Side rails,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
456,978-81-19534-13-5,Mrs. Dana Baby,Assistant Professor,"Nehru College of Nursing, Vaniyamkulam, Palakkad, Kerala",Contributor,ROM Exercises,ROM Exercises,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
457,978-81-19534-13-5,Mr. Suraj Sumant Salve,Nursing Tutor,"D.Y. Patil College of Nursing ,Kadamwadi Kolhapur",Contributor,Assisting a Patient to Ambulate using Assistive Devices,Assisting a Patient to Ambulate using Assistive Devices,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
458,978-81-19534-13-5,Mrs. Manisha Srivastava,Nursing Tutor,"Government College of Nursing RDASMC, Ayodhya, U.P.",Contributor,Moving and Turning Patients in Bed,Moving and Turning Patients in Bed,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
459,978-81-19534-13-5,Km Sonam,Nursing Tutor,"OBG Nursing, Shree Guru Gobind Singh Tricentenary University, Gurugram, Haryana",Contributor,Changing Position of Helpless Patients,Changing Position of Helpless Patients,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
460,978-81-19534-13-5,Ms. Money Saxena,Assistant Professor,"School of Nursing, Noida International University, Greater Noida ,U.P.",Contributor,Transferring Patients Bed to Stretcher/ Wheel Chair,Transferring Patients Bed to Stretcher Wheel Chair,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
461,978-81-19534-13-5,Mrs. Shefali Latesh,Associate Professor,"Pragyan College of Nursing Bhopal, M.P.",Contributor,"Admission, Transfer, Discharge & Health Teaching",Admission Transfer Discharge  Health Teaching,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
462,978-81-19534-13-5,Mrs.Neelofur Ibran Ali,Associate Professor,"Pragyan College of Nursing, Bhopal, M.P.",Contributor,Oral Hygiene & Sponge Bath,Oral Hygiene  Sponge Bath,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
463,978-81-19534-13-5,Ms. Pragna Gamit,Nursing Tutor,"Government College of Nursing, Surat, Gujarat",Contributor,Perineal Care Procedure,Perineal Care Procedure,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
464,978-81-19534-13-5,Ms. Sonia Mehta,Assistant Professor,"School of Nursing, Noida International University, Greater Noida, U.P.",Contributor,Nutritional Assessment,Nutritional Assessment,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
465,978-81-19534-13-5,Ms. Sudha Gautam,Vice Principal,"K. D. College of Nursing and Medical Sciences, Mathura,U.P.",Contributor,Nasogastric Tube Intubation,Nasogastric Tube Intubation,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
466,978-81-19534-13-5,Mrs. Richa Ramakant Jadhav,Assistant Professor,"D. Y. Patil College Of Nursing, Kadamwadi, Kolhapur",Contributor,Providing Bed Pan & Urinal,Providing Bed Pan  Urinal,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
467,978-81-19534-13-5,Ms. Ruby Singh,Associate Professor,"Parul Institute of Nursing, Parul University, Vadodara, Gujarat",Contributor,Urinary Catheter Care,Urinary Catheter Care,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
468,978-81-19534-13-5,KM SONAM,Nursing Tutor,"OBG Nursing, Shree Guru Gobind Singh Tricentenary University, Gurugram, Haryana",Contributor,"Bowel Wash, Enema, Insertion of Suppository",Bowel Wash Enema Insertion of Suppository,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
469,978-81-19534-13-5,Ms. Rashmi Rawat,Nursing Tutor,"KGMU College of Nursing, Lucknow, U.P.",Contributor,Oxygen Administration,Oxygen Administration,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
470,978-81-19534-13-5,Ms. Sarita Singh,Nursing Tutor,"KGMU College of Nursing, Lucknow, U.P.",Contributor,Administration of Medications,Administration of Medications,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
471,978-81-19534-13-5,Ms. Rani. G.S,Assistant Professor,"Nehru College of Nursing, Vaniyamkulam, Palakkad, Kerala",Contributor,Last Office,Last Office,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
472,978-81-19534-13-5,Mr. Raj Pradhan,Clinical Instructor,"Pragyan College Of Nursing, Gandhinagar, Bhopal, M.P.",Contributor,CPR,CPR,NURSING FOUNDATION PROCEDURE,"Thursday, August 10, 2023",Xoffencer International Publication
473,978-81-19534-20-3,Bhadrappa Haralayya,HOD and Professor in the MBA Department,"Lingaraj Appa Engineering College, Bidar, Karnataka",Author,NIL,NIL,E-COMMERCE AND ITS IMPACT ON GLOBAL BUSINESS,"Wednesday, August 16, 2023",Xoffencer International Publication
474,978-81-19534-20-3,Sunil Kumar Vohra,"Program leader, Assistant professor",Amity University,Author,NIL,NIL,E-COMMERCE AND ITS IMPACT ON GLOBAL BUSINESS,"Wednesday, August 16, 2023",Xoffencer International Publication
475,978-81-19534-20-3,Smiley Gandhi,Assistant Professor in Department of Computer Science and Engineering,"BBDITM Lucknow, Uttar Pradesh, India",Author,NIL,NIL,E-COMMERCE AND ITS IMPACT ON GLOBAL BUSINESS,"Wednesday, August 16, 2023",Xoffencer International Publication
476,978-81-19534-20-3,Manoj B Pandey,Associate Professor,"Jhulelal Institute of Technology, Nagpur",Author,NIL,NIL,E-COMMERCE AND ITS IMPACT ON GLOBAL BUSINESS,"Wednesday, August 16, 2023",Xoffencer International Publication
477,978-81-19534-10-4,Dr. Atul Srivastava,Assistant Professor,"Amity University Uttar Pradesh, Lucknow Campus",Author,NIL,NIL,WIRELESS SENSOR NETWORKS: ARCHITECTURES AND PROTOCOLS,"Monday, August 7, 2023",Xoffencer International Publication
478,978-81-19534-10-4,Dr. Ramkumar Krishnamoorthy,Assistant Professor in the School of CS/IT,"Jain University, Bangalore",Author,NIL,NIL,WIRELESS SENSOR NETWORKS: ARCHITECTURES AND PROTOCOLS,"Monday, August 7, 2023",Xoffencer International Publication
479,978-81-19534-10-4,Dr. Gaurav Kumar Srivastava,Assistant Professor,IIMT Group of College Greater Noida Uttar Pradesh India,Author,NIL,NIL,WIRELESS SENSOR NETWORKS: ARCHITECTURES AND PROTOCOLS,"Monday, August 7, 2023",Xoffencer International Publication
480,978-81-19534-10-4,Dr. Manmohan Singh Yadav,Assistant Professor in the Department of Computer Science and Engineering,"IIMT College of Engineering Greater Noida, India",Author,NIL,NIL,WIRELESS SENSOR NETWORKS: ARCHITECTURES AND PROTOCOLS,"Monday, August 7, 2023",Xoffencer International Publication
481,978-81-19534-26-5,Dr. Satvika,Assistant Professor in The Computer Engineering Department,"The Technological Institute of Textile and Sciences, Bhiwani, Haryana, India",Author,NIL,NIL,"NETWORK SECURITY FUNDAMENTALS: CONCEPTS, TECHNOLOGIES, AND BEST PRACTICES","Monday, August 21, 2023",Xoffencer International Publication
482,978-81-19534-26-5,Dr. Ritu Yadav,Assistant Professor in The ECE Department,"The Technological Institute of Textile and Sciences, Bhiwani, Haryana, India",Author,NIL,NIL,"NETWORK SECURITY FUNDAMENTALS: CONCEPTS, TECHNOLOGIES, AND BEST PRACTICES","Monday, August 21, 2023",Xoffencer International Publication
483,978-81-19534-26-5,Dr. Akhil Kaushik,Assistant Professor in The Computer Engineering Department,"The Technological Institute of Textile and Sciences, Bhiwani, Haryana, India",Author,NIL,NIL,"NETWORK SECURITY FUNDAMENTALS: CONCEPTS, TECHNOLOGIES, AND BEST PRACTICES","Monday, August 21, 2023",Xoffencer International Publication
484,978-81-19534-26-5,Dr. Anil Kumar,Assistant Professor,"The Technological Institute of Textile and Sciences, Bhiwani, Haryana, India",Author,NIL,NIL,"NETWORK SECURITY FUNDAMENTALS: CONCEPTS, TECHNOLOGIES, AND BEST PRACTICES","Monday, August 21, 2023",Xoffencer International Publication
485,978-81-19534-23-4,Amit Vyas,Groundbreaking Project Involving,Multi-camera 3D Object Detection for Autonomous Driving,Author,NIL,NIL,ARTIFICIAL INTELLIGENCE IN HEALTHCARE: ADVANTAGES AND DISADVANTAGES,"Monday, August 21, 2023",Xoffencer International Publication
486,978-81-19534-23-4,Varun Dixit,Senior Member of Technical Staff,"VMware Inc in Palo Alto, CA",Author,NIL,NIL,ARTIFICIAL INTELLIGENCE IN HEALTHCARE: ADVANTAGES AND DISADVANTAGES,"Monday, August 21, 2023",Xoffencer International Publication
487,978-81-19534-23-4,Davinderjit Kaur,Researcher,University of Alberta,Author,NIL,NIL,ARTIFICIAL INTELLIGENCE IN HEALTHCARE: ADVANTAGES AND DISADVANTAGES,"Monday, August 21, 2023",Xoffencer International Publication
488,978-81-19534-23-4,Dr. Haewon Byeon,Department of Medical Big Data,Inje University,Author,NIL,NIL,ARTIFICIAL INTELLIGENCE IN HEALTHCARE: ADVANTAGES AND DISADVANTAGES,"Monday, August 21, 2023",Xoffencer International Publication
489,978-81-964018-7-0,Prof Amit Kumar Mishra,"Assistant Professor, E & TC Department",Sandip Institute of Engineering and Management Nashik Maharashtra India,Author,NIL,NIL,PYTHON PROGRAMMING WITH APPLICATIONS: FROM BASICS TO ADVANCE,"Tuesday, July 4, 2023",Xoffencer International Publication
490,978-81-964018-7-0,Dr. Dipak Pandurang Patil,Professor and Principal,Sandip Institute of Engineering and Management Nashik Maharashtra India,Author,NIL,NIL,PYTHON PROGRAMMING WITH APPLICATIONS: FROM BASICS TO ADVANCE,"Tuesday, July 4, 2023",Xoffencer International Publication
491,978-81-964018-7-0,Dr. Tushar H. Jaware,Dean of Research and Development,"R. C. Patel Institute of Technology in Shirpur, Maharashtra, India",Author,NIL,NIL,PYTHON PROGRAMMING WITH APPLICATIONS: FROM BASICS TO ADVANCE,"Tuesday, July 4, 2023",Xoffencer International Publication
492,978-81-19534-54-8,S. R. Jena,Faculty Associate in Department of Computer Science and Engineering,"Mahindra University, Hyderabad, Telangana, India",Author,NIL,NIL,DATA STRUCTURES FOR MODERN APPLICATIONS,"Monday, September 18, 2023",Xoffencer International Publication
